"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"216","5292","#9V00LLQ8","༺࿅ོALLEXCEED࿅ོ༻","162","79","9","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"217","5291","#YYQ8JJL8","BenZai™","137","126","9","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"218","5290","#89UCQR90","feyenoord","162","95","7","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"219","5290","#CQ9UCGGR","atesayti","145","132","7","#YQR0YQ0G","TITAN TURK'S ®","YMSh3zRpb0IE0nEJ4g7CfSomzBs-RQcWFiVpP3h05ew"
"220","5290","#YGJYL8CP","GENERAL","169","101","10","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"221","5289","#CC290LY2","KJ","143","88","11","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"222","5289","#GJC8CJL0","☆전쟁의 신☆","141","150","8","#GRU0PLQ","한국","NV2UNeQQkGYXXCX8BXPpqFi0IUD1dunjeP4EgUqifSg"
"223","5288","#PU08GJR8","Smoker@BVB","153","90","9","#28UYU9Q2","GNADENLOS","N0-0A9MU2iS84X0n4hDnN8as1kXz9wJCFcP30dnulT8"
"224","5288","#YCUQGV8Y","EricBin","200","181","7","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"225","5288","#QCJCL2PP","[CyS]","192","123","10","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"226","5287","#VYU20GJG","+*Dark Vadar*+","153","206","12","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
